state,employ_est2,employ_w2,povcat11_1_est2,povcat11_1_w2,povcat11_2_est2,povcat11_2_w2,povcat11_3_est2,povcat11_3_w2,povcat11_4_est2,povcat11_4_w2,povcat11_5_est2,povcat11_5_w2,povcat11_6_est2,povcat11_6_w2,povcat11_7_est2,povcat11_7_w2,povcat11_8_est2,povcat11_8_w2,povcat11_9_est2,povcat11_9_w2,povcat11_10_est2,povcat11_10_w2,povcat11_11_est2,povcat11_11_w2,povcat11_kids_1_est2,povcat11_kids_1_w2,povcat11_kids_2_est2,povcat11_kids_2_w2,povcat11_kids_3_est2,povcat11_kids_3_w2,povcat11_kids_4_est2,povcat11_kids_4_w2,povcat11_kids_5_est2,povcat11_kids_5_w2,povcat11_kids_6_est2,povcat11_kids_6_w2,povcat11_kids_7_est2,povcat11_kids_7_w2,povcat11_kids_8_est2,povcat11_kids_8_w2,povcat11_kids_9_est2,povcat11_kids_9_w2,povcat11_kids_10_est2,povcat11_kids_10_w2,povcat11_kids_11_est2,povcat11_kids_11_w2,povcat11_adults_1_est2,povcat11_adults_1_w2,povcat11_adults_2_est2,povcat11_adults_2_w2,povcat11_adults_3_est2,povcat11_adults_3_w2,povcat11_adults_4_est2,povcat11_adults_4_w2,povcat11_adults_5_est2,povcat11_adults_5_w2,povcat11_adults_6_est2,povcat11_adults_6_w2,povcat11_adults_7_est2,povcat11_adults_7_w2,povcat11_adults_8_est2,povcat11_adults_8_w2,povcat11_adults_9_est2,povcat11_adults_9_w2,povcat11_adults_10_est2,povcat11_adults_10_w2,povcat11_adults_11_est2,povcat11_adults_11_w2,elig_est2,elig_w2,elig_all_adult_est2,elig_all_adult_w2,elig_all_child_est2,elig_all_child_w2
state_Idaho,0.729743273,888334,0.063921311,103737,0.051444156,83488,0.076028138,123385,0.105887906,171844,0.086277163,140018,0.089491807,145235,0.09671659,156960,0.067582689,109679,0.06455475,104765,0.060542761,98254,0.23755273,385521,0.057841828,28597,0.063656958,31472,0.106636327,52721,0.132174353,65347,0.103895631,51366,0.103458738,51150,0.099433657,49160,0.06332322,31307,0.061464401,30388,0.05059466,25014,0.157520227,77878,0.066584787,75140,0.046093616,52016,0.062618411,70664,0.094371574,106497,0.078558352,88652,0.083372767,94085,0.095526218,107800,0.069448801,78372,0.06590866,74377,0.064901115,73240,0.272615699,307643,0.218744878,354998,0.172343299,194487,0.324658172,160511
state_Illinois,0.742733431,5929648,0.073095949,755735,0.050536588,522495,0.058100319,600696,0.073850959,763541,0.071695033,741251,0.075736741,783038,0.074230495,767465,0.065610853,678347,0.061956031,640560,0.05307882,548779,0.342108213,3537038,0.080015584,229407,0.065623682,188145,0.081007203,232250,0.093625841,268428,0.086719039,248626,0.082162406,235562,0.074778804,214393,0.062447572,179039,0.058892324,168846,0.048043114,137741,0.266684432,764592,0.070440835,526328,0.044747559,334350,0.049310779,368446,0.066263191,495113,0.065930211,492625,0.073271166,547476,0.074020104,553072,0.066824627,499308,0.063131598,471714,0.055011057,411038,0.371048872,2772446,0.262014548,2708954,0.165270193,1234885,0.514145131,1474069
state_Indiana,0.739978289,3176601,0.078219891,444253,0.056471299,320731,0.072250217,410348,0.093490318,530982,0.086138666,489228,0.088179148,500817,0.079716491,452753,0.074487018,423052,0.063660613,361563,0.054543326,309781,0.252843012,1436032,0.084843452,142022,0.074414701,124565,0.096843357,162109,0.115758723,193772,0.103156643,172677,0.096974186,162328,0.080956193,135515,0.069575789,116465,0.058872235,98548,0.044491705,74476,0.174113015,291453,0.075451929,302231,0.048972816,196166,0.061972833,248239,0.084184431,337210,0.079026915,316551,0.084503734,338489,0.079198424,317238,0.076539403,306587,0.06566166,263015,0.058743862,235305,0.285743994,1144579,0.274097726,1556749,0.185349298,742437,0.486467176,814312
state_Iowa,0.780646539,1542556,0.073043526,190555,0.053925445,140680,0.062146124,162126,0.080382952,209702,0.087056168,227111,0.090946482,237260,0.087806325,229068,0.064479009,168212,0.066604901,173758,0.060899951,158875,0.272709117,711440,0.079783068,61316,0.065879974,50631,0.077221047,59347,0.101851057,78276,0.106144946,81576,0.103943352,79884,0.090917253,69873,0.059631714,45829,0.062036292,47677,0.052445305,40306,0.200145992,153819,0.07022893,129239,0.048932946,90049,0.055850473,102779,0.071417354,131426,0.079084235,145535,0.085518676,157376,0.086507127,159195,0.066503356,122383,0.068512862,126081,0.064430815,118569,0.303013227,557621,0.321571673,838912,0.179160691,329701,0.66257446,509211
state_Kansas,0.764166596,1392323,0.071673613,173617,0.055782702,135124,0.074680638,180901,0.081048479,196326,0.087505903,211968,0.088159407,213551,0.078939351,191217,0.073766641,178687,0.064953631,157339,0.055202268,133718,0.268287367,649880,0.06204009,45089,0.070400346,51165,0.099095727,72020,0.099293864,72164,0.10591905,76979,0.09688458,70413,0.081662475,59350,0.073124721,53145,0.057579268,41847,0.054279747,39449,0.199720132,145151,0.075802863,128528,0.049517091,83959,0.064215514,108881,0.073227897,124162,0.079613413,134989,0.084419506,143138,0.077772129,131867,0.074041789,125542,0.06811453,115492,0.055597692,94269,0.297677576,504729,0.157058004,380446,0.032426531,54981,0.447822701,325465
state_Kentucky,0.696037349,1971981,0.10391867,387011,0.079400737,295702,0.083639263,311487,0.088164832,328341,0.086931538,323748,0.082078379,305674,0.076807408,286044,0.068848592,256404,0.055642704,207223,0.050050051,186395,0.224517826,836143,0.123029634,131163,0.094776425,101042,0.106294009,113321,0.109450347,116686,0.098789148,105320,0.081710219,87112,0.075938764,80959,0.063816176,68035,0.046005615,49047,0.038592677,41144,0.161596985,172280,0.09625355,255848,0.07323378,194660,0.074552785,198166,0.079627533,211655,0.082175629,218428,0.082226042,218562,0.077155809,205085,0.070867019,188369,0.059507995,158176,0.054645432,145251,0.249754426,663863,0.304793925,1135105,0.239950295,637803,0.466464498,497302
state_Louisiana,0.671088055,1906182,0.108064321,408342,0.094058953,355420,0.089150378,336872,0.091323087,345082,0.088684609,335112,0.080944898,305866,0.06701707,253237,0.065171194,246262,0.048793578,184376,0.048550108,183456,0.218241805,824669,0.123680157,139309,0.121607117,136974,0.110147244,124066,0.102040635,114935,0.096474944,108666,0.079113786,89111,0.068262952,76889,0.060181202,67786,0.042440062,47803,0.04551189,51263,0.150540011,169563,0.101432741,269033,0.082360069,218446,0.080233636,212806,0.086771664,230147,0.085376286,226446,0.081722516,216755,0.066487981,176348,0.067290295,178476,0.051491727,136573,0.049840348,132193,0.246992737,655106,0.350924949,1326038,0.261131255,692606,0.562368326,633432
state_Maine,0.755160812,651114,0.067131542,72252,0.04644352,49986,0.062811085,67602,0.070031358,75373,0.072681239,78225,0.08584516,92393,0.082399015,88684,0.076717382,82569,0.075868156,81655,0.053608046,57697,0.306463497,329839,0.073777908,19080,0.060808773,15726,0.085540613,22122,0.093900562,24284,0.08789934,22732,0.089364845,23111,0.091259561,23601,0.094244704,24373,0.064981014,16805,0.0451213,11669,0.213101379,55111,0.065029395,53172,0.041900005,34260,0.055622073,45480,0.062481884,51089,0.06786798,55493,0.084731937,69282,0.079596557,65083,0.07117375,58196,0.079311597,64850,0.056292278,46028,0.335992545,274728,0.248305498,267245,0.166943269,136503,0.50554881,130742
state_Maryland,0.762670516,2984030,0.066030622,337646,0.036391879,186089,0.052808501,270035,0.059193785,302686,0.055813697,285402,0.065926192,337112,0.067976852,347598,0.056834138,290620,0.061269673,313301,0.051869609,265234,0.425885054,2177753,0.067942038,97737,0.048174706,69301,0.076209477,109630,0.076304018,109766,0.068831832,99017,0.07517092,108136,0.074317274,106908,0.059351354,85379,0.062275857,89586,0.047147967,67824,0.344274557,495251,0.065282409,239909,0.031779558,116788,0.04364832,160405,0.052496081,192920,0.050717821,186385,0.062307395,228976,0.065494929,240690,0.055848788,205241,0.060875807,223715,0.053717869,197410,0.457831024,1682502,0.228412336,1167981,0.1433106,526658,0.445816751,641323
state_Massachusetts,0.762680674,3461517,0.077796947,444040,0.044998151,256835,0.047648966,271965,0.047850799,273117,0.048045624,274229,0.053202361,303662,0.055068794,314315,0.054254102,309665,0.051321562,292927,0.049535722,282734,0.470276972,2684190,0.080044934,114864,0.060168893,86342,0.069436527,99641,0.06222465,89292,0.057125674,81975,0.058672022,84194,0.06191106,88842,0.055923579,80250,0.049627385,71215,0.045535382,65343,0.399329893,573036,0.077041954,329176,0.039903012,170493,0.040331548,172324,0.043023298,183825,0.044996062,192254,0.051365359,219468,0.052770799,225473,0.053693404,229415,0.051890556,221712,0.050879248,217391,0.494104761,2111154,0.219096063,1250530,0.161201914,688765,0.391475504,561765
